Query_ID,Num_Relevant,AP_VSM,P@20_VSM,Recall@20_VSM,AP_BM25,P@20_BM25,Recall@20_BM25
1,28,0.1859,0.35,0.25,0.1238,0.3,0.2143
2,24,0.2059,0.3,0.25,0.1788,0.25,0.2083
3,8,0.6198,0.35,0.875,0.6304,0.35,0.875
4,2,0.5526,0.1,1.0,0.5,0.05,0.5
5,4,0.1869,0.15,0.75,0.2905,0.15,0.75
6,4,0.1181,0.1,0.5,0.1705,0.1,0.5
7,5,0.0833,0.1,0.4,0.1167,0.1,0.4
8,11,0.0772,0.2,0.3636,0.0909,0.05,0.0909
9,3,1.0,0.15,1.0,0.5889,0.15,1.0
10,8,0.1067,0.15,0.375,0.1083,0.15,0.375
11,7,0.1301,0.2,0.5714,0.0765,0.1,0.2857
12,5,0.1792,0.15,0.6,0.2667,0.15,0.6
13,4,0.0,0.0,0.0,0.0,0.0,0.0
14,2,0.5833,0.1,1.0,0.5769,0.1,1.0
15,2,0.6429,0.1,1.0,0.8333,0.1,1.0
16,3,0.1667,0.05,0.3333,0.1667,0.05,0.3333
17,2,0.5,0.05,0.5,0.0833,0.05,0.5
18,3,0.0833,0.05,0.3333,0.3333,0.05,0.3333
19,9,0.0139,0.05,0.1111,0.0222,0.05,0.1111
20,9,0.6102,0.45,1.0,0.5786,0.4,0.8889
21,4,0.1827,0.15,0.75,0.0132,0.05,0.25
22,1,0.0,0.0,0.0,0.0,0.0,0.0
23,32,0.1341,0.4,0.25,0.1446,0.5,0.3125
24,3,0.4667,0.1,0.6667,0.3333,0.1,0.6667
25,9,0.5086,0.35,0.7778,0.6944,0.35,0.7778
26,6,0.1639,0.15,0.5,0.1944,0.1,0.3333
27,3,0.072,0.1,0.6667,0.1032,0.1,0.6667
28,2,0.0,0.0,0.0,0.0,0.0,0.0
29,9,0.4196,0.25,0.5556,0.3286,0.25,0.5556
30,7,0.0,0.0,0.0,0.0179,0.05,0.1429
31,1,0.0,0.0,0.0,0.0,0.0,0.0
32,6,0.0754,0.1,0.3333,0.1944,0.1,0.3333
33,3,0.4444,0.15,1.0,0.6389,0.15,1.0
34,6,0.285,0.25,0.8333,0.2851,0.2,0.6667
35,3,0.0,0.0,0.0,0.0,0.0,0.0
36,2,0.5625,0.1,1.0,0.5,0.05,0.5
37,9,0.146,0.25,0.5556,0.0425,0.15,0.3333
38,10,0.0143,0.05,0.1,0.01,0.05,0.1
39,13,0.1663,0.25,0.3846,0.0962,0.15,0.2308
40,11,0.0409,0.1,0.1818,0.0803,0.15,0.2727
41,3,0.7667,0.15,1.0,0.8667,0.15,1.0
42,5,0.1924,0.15,0.6,0.1821,0.15,0.6
43,6,0.6528,0.25,0.8333,0.5841,0.25,0.8333
44,3,0.0,0.0,0.0,0.0,0.0,0.0
45,12,0.1852,0.2,0.3333,0.1326,0.2,0.3333
46,15,0.2478,0.25,0.3333,0.3424,0.4,0.5333
47,14,0.2483,0.4,0.5714,0.3237,0.45,0.6429
48,11,0.1455,0.15,0.2727,0.1455,0.15,0.2727
49,2,0.1667,0.05,0.5,0.05,0.05,0.5
50,6,0.0333,0.05,0.1667,0.0417,0.05,0.1667
51,10,0.4553,0.35,0.7,0.5168,0.35,0.7
52,4,0.6458,0.2,1.0,0.5326,0.2,1.0
53,10,0.1776,0.2,0.4,0.2099,0.25,0.5
54,9,0.037,0.05,0.1111,0.0673,0.1,0.2222
55,10,0.2516,0.25,0.5,0.3526,0.3,0.6
56,10,0.0769,0.15,0.3,0.0833,0.1,0.2
57,14,0.0462,0.15,0.2143,0.0459,0.1,0.1429
58,9,0.1573,0.2,0.4444,0.1516,0.25,0.5556
59,4,0.2083,0.1,0.5,0.3125,0.1,0.5
60,5,0.4,0.15,0.6,0.47,0.2,0.8
61,5,0.4857,0.15,0.6,0.5088,0.2,0.8
62,5,0.0286,0.05,0.2,0.0143,0.05,0.2
63,3,0.0,0.0,0.0,0.0185,0.05,0.3333
64,2,0.7,0.1,1.0,0.5526,0.1,1.0
65,15,0.2906,0.3,0.4,0.2064,0.3,0.4
66,5,0.1108,0.15,0.6,0.025,0.05,0.2
67,14,0.5449,0.45,0.6429,0.4357,0.35,0.5
68,5,0.0667,0.05,0.2,0.0333,0.05,0.2
69,5,0.0154,0.05,0.2,0.04,0.05,0.2
70,10,0.0143,0.05,0.1,0.0618,0.1,0.2
71,8,0.0104,0.05,0.125,0.0208,0.05,0.125
72,17,0.0489,0.2,0.2353,0.0679,0.1,0.1176
73,20,0.2049,0.35,0.35,0.2946,0.4,0.4
74,6,0.0648,0.1,0.3333,0.1037,0.15,0.5
75,5,0.2,0.05,0.2,0.0167,0.05,0.2
76,7,0.1905,0.1,0.2857,0.1667,0.1,0.2857
77,6,0.4167,0.2,0.6667,0.3278,0.2,0.6667
78,3,0.8056,0.15,1.0,0.7556,0.15,1.0
79,5,0.0167,0.05,0.2,0.0318,0.1,0.4
80,4,0.0,0.0,0.0,0.0,0.0,0.0
81,2,0.2361,0.1,1.0,0.7,0.1,1.0
82,5,0.3316,0.15,0.6,0.3657,0.15,0.6
83,4,0.05,0.05,0.25,0.101,0.1,0.5
84,11,0.2091,0.2,0.3636,0.3333,0.2,0.3636
85,4,0.0,0.0,0.0,0.25,0.05,0.25
86,2,0.4167,0.1,1.0,0.5833,0.1,1.0
87,8,0.0,0.0,0.0,0.0,0.0,0.0
88,6,0.7052,0.3,1.0,0.6496,0.3,1.0
89,6,0.0905,0.15,0.5,0.0886,0.15,0.5
90,13,0.1459,0.25,0.3846,0.1953,0.3,0.4615
91,9,0.2433,0.25,0.5556,0.3391,0.3,0.6667
92,13,0.6002,0.5,0.7692,0.5028,0.45,0.6923
93,1,0.5,0.05,1.0,0.5,0.05,1.0
94,12,0.4881,0.3,0.5,0.5452,0.4,0.6667
95,2,0.5909,0.1,1.0,0.3929,0.1,1.0
96,13,0.2716,0.35,0.5385,0.3443,0.35,0.5385
97,10,0.0883,0.15,0.3,0.1689,0.2,0.4
98,5,0.0,0.0,0.0,0.0118,0.05,0.2
99,4,0.2708,0.15,0.75,0.2786,0.15,0.75
100,9,0.1481,0.15,0.3333,0.1667,0.15,0.3333
101,6,0.8024,0.3,1.0,0.8383,0.3,1.0
102,4,0.4167,0.1,0.5,0.3214,0.1,0.5
103,2,0.0294,0.05,0.5,0.0294,0.05,0.5
104,5,0.0404,0.1,0.4,0.07,0.1,0.4
105,5,0.5233,0.2,0.8,0.4449,0.2,0.8
106,5,0.28,0.1,0.4,0.4615,0.2,0.8
107,7,0.1952,0.15,0.4286,0.2679,0.25,0.7143
108,7,0.73,0.35,1.0,0.7934,0.35,1.0
109,5,0.0,0.0,0.0,0.0,0.0,0.0
110,4,0.25,0.05,0.25,0.0833,0.05,0.25
111,7,0.2193,0.3,0.8571,0.1714,0.25,0.7143
112,2,0.25,0.05,0.5,0.3333,0.1,1.0
113,4,0.0417,0.05,0.25,0.1181,0.1,0.5
114,4,0.0833,0.05,0.25,0.0417,0.05,0.25
