Query_ID,Doc_ID,Rank,Doc_Length,Term,TF(f),IDF_BM25,Numerator,Denominator,Term_BM25_Score
1,51,1,105,similar,3,2.2244,9.0,5.1182,3.9113
1,51,1,105,construct,2,3.5192,6.0,4.1182,5.1273
1,51,1,105,model,4,2.066,12.0,6.1182,4.0521
1,51,1,105,heat,7,1.5197,21.0,9.1182,3.5
1,51,1,105,speed,1,1.5665,3.0,3.1182,1.5071
1,51,1,105,aircraft,9,2.9752,27.0,11.1182,7.2252
1,486,2,139,similar,4,2.2244,12.0,6.5451,4.0782
1,486,2,139,law,3,3.2653,9.0,5.5451,5.2997
1,486,2,139,aeroelast,1,4.3272,3.0,3.5451,3.6618
1,486,2,139,model,5,2.066,15.0,7.5451,4.1072
1,486,2,139,heat,3,1.5197,9.0,5.5451,2.4666
1,486,2,139,high,1,1.7175,3.0,3.5451,1.4534
1,486,2,139,speed,1,1.5665,3.0,3.5451,1.3256
1,12,3,73,aeroelast,2,4.3272,6.0,3.7165,6.9859
1,12,3,73,heat,1,1.5197,3.0,2.7165,1.6783
1,12,3,73,high,4,1.7175,12.0,5.7165,3.6054
1,12,3,73,speed,4,1.5665,12.0,5.7165,3.2883
1,12,3,73,aircraft,2,2.9752,6.0,3.7165,4.8033
1,184,4,83,similar,3,2.2244,9.0,4.842,4.1345
1,184,4,83,aeroelast,3,4.3272,9.0,4.842,8.043
1,184,4,83,model,3,2.066,9.0,4.842,3.8401
1,184,4,83,aircraft,1,2.9752,3.0,2.842,3.1406
1,878,5,47,construct,1,3.5192,3.0,2.3901,4.4173
1,878,5,47,model,3,2.066,9.0,4.3901,4.2354
1,878,5,47,high,1,1.7175,3.0,2.3901,2.1558
1,878,5,47,speed,2,1.5665,6.0,3.3901,2.7725
1,878,5,47,aircraft,1,2.9752,3.0,2.3901,3.7345
1,573,6,100,similar,2,2.2244,6.0,4.0555,3.2909
1,573,6,100,law,1,3.2653,3.0,3.0555,3.206
1,573,6,100,must,1,3.343,3.0,3.0555,3.2823
1,573,6,100,obey,1,5.5402,3.0,3.0555,5.4396
1,573,6,100,high,1,1.7175,3.0,3.0555,1.6863
1,665,7,70,similar,1,2.2244,3.0,2.6788,2.491
1,665,7,70,law,2,3.2653,6.0,3.6788,5.3255
1,665,7,70,construct,1,3.5192,3.0,2.6788,3.9412
1,665,7,70,high,2,1.7175,6.0,3.6788,2.8012
1,746,8,74,aeroelast,3,4.3272,9.0,4.7291,8.2352
1,746,8,74,heat,1,1.5197,3.0,2.7291,1.6706
1,746,8,74,high,1,1.7175,3.0,2.7291,1.888
1,746,8,74,speed,1,1.5665,3.0,2.7291,1.722
1,944,9,69,law,1,3.2653,3.0,2.6663,3.674
1,944,9,69,obey,1,5.5402,3.0,2.6663,6.2336
1,944,9,69,heat,4,1.5197,12.0,5.6663,3.2185
1,13,10,73,similar,3,2.2244,9.0,4.7165,4.2445
1,13,10,73,law,2,3.2653,6.0,3.7165,5.2715
1,13,10,73,heat,5,1.5197,15.0,6.7165,3.394
2,12,1,73,structur,5,2.5675,15.0,6.7165,5.7339
2,12,1,73,aeroelast,2,4.3272,6.0,3.7165,6.9859
2,12,1,73,problem,1,1.4657,3.0,2.7165,1.6187
2,12,1,73,flight,3,2.336,9.0,4.7165,4.4575
2,12,1,73,high,4,1.7175,12.0,5.7165,3.6054
2,12,1,73,speed,4,1.5665,12.0,5.7165,3.2883
2,12,1,73,aircraft,2,2.9752,6.0,3.7165,4.8033
2,51,2,105,structur,7,2.5675,21.0,9.1182,5.913
2,51,2,105,problem,1,1.4657,3.0,3.1182,1.4102
2,51,2,105,flight,1,2.336,3.0,3.1182,2.2474
2,51,2,105,speed,1,1.5665,3.0,3.1182,1.5071
2,51,2,105,aircraft,9,2.9752,27.0,11.1182,7.2252
2,746,3,74,aeroelast,3,4.3272,9.0,4.7291,8.2352
2,746,3,74,problem,4,1.4657,12.0,5.7291,3.0701
2,746,3,74,flight,1,2.336,3.0,2.7291,2.5679
2,746,3,74,high,1,1.7175,3.0,2.7291,1.888
2,746,3,74,speed,1,1.5665,3.0,2.7291,1.722
2,1169,4,92,problem,1,1.4657,3.0,2.955,1.488
2,1169,4,92,flight,5,2.336,15.0,6.955,5.038
2,1169,4,92,speed,2,1.5665,6.0,3.955,2.3764
2,1169,4,92,aircraft,5,2.9752,15.0,6.955,6.4167
2,100,5,132,structur,4,2.5675,12.0,6.4572,4.7713
2,100,5,132,associ,2,3.0181,6.0,4.4572,4.0628
2,100,5,132,aircraft,6,2.9752,18.0,8.4572,6.3324
2,14,6,223,aeroelast,3,4.3272,9.0,6.5997,5.9009
2,14,6,223,problem,3,1.4657,9.0,6.5997,1.9988
2,14,6,223,flight,1,2.336,3.0,4.5997,1.5236
2,14,6,223,high,2,1.7175,6.0,5.5997,1.8403
2,14,6,223,speed,1,1.5665,3.0,4.5997,1.0217
2,14,6,223,aircraft,1,2.9752,3.0,4.5997,1.9405
2,1089,7,80,problem,2,1.4657,6.0,3.8044,2.3117
2,1089,7,80,associ,1,3.0181,3.0,2.8044,3.2286
2,1089,7,80,flight,1,2.336,3.0,2.8044,2.4989
2,1089,7,80,high,2,1.7175,6.0,3.8044,2.7087
2,1089,7,80,aircraft,1,2.9752,3.0,2.8044,3.1828
2,184,8,83,structur,1,2.5675,3.0,2.842,2.7101
2,184,8,83,aeroelast,3,4.3272,9.0,4.842,8.043
2,184,8,83,aircraft,1,2.9752,3.0,2.842,3.1406
2,141,9,63,aeroelast,1,4.3272,3.0,2.5909,5.0103
2,141,9,63,flight,1,2.336,3.0,2.5909,2.7048
2,141,9,63,high,2,1.7175,6.0,3.5909,2.8697
2,141,9,63,speed,2,1.5665,6.0,3.5909,2.6174
2,810,10,103,problem,2,1.4657,6.0,4.0931,2.1486
2,810,10,103,associ,1,3.0181,3.0,3.0931,2.9272
2,810,10,103,flight,6,2.336,18.0,8.0931,5.1954
2,810,10,103,aircraft,1,2.9752,3.0,3.0931,2.8857
3,485,1,25,heat,2,1.5197,6.0,3.1139,2.9283
3,485,1,25,conduct,1,2.1792,3.0,2.1139,3.0927
3,485,1,25,composit,2,4.0879,6.0,3.1139,7.8769
3,485,1,25,slab,2,4.5708,6.0,3.1139,8.8073
3,144,2,87,problem,1,1.4657,3.0,2.8923,1.5203
3,144,2,87,heat,5,1.5197,15.0,6.8923,3.3075
3,144,2,87,composit,5,4.0879,15.0,6.8923,8.8968
3,144,2,87,slab,3,4.5708,9.0,4.8923,8.4086
3,5,3,37,heat,6,1.5197,18.0,7.2645,3.7656
3,5,3,37,conduct,2,2.1792,6.0,3.2645,4.0052
3,5,3,37,composit,1,4.0879,3.0,2.2645,5.4156
3,5,3,37,slab,2,4.5708,6.0,3.2645,8.4008
3,399,4,31,heat,3,1.5197,9.0,4.1892,3.2649
3,399,4,31,conduct,1,2.1792,3.0,2.1892,2.9863
3,399,4,31,composit,1,4.0879,3.0,2.1892,5.602
3,399,4,31,slab,1,4.5708,3.0,2.1892,6.2637
3,91,5,90,heat,2,1.5197,6.0,3.9299,2.3202
3,91,5,90,composit,2,4.0879,6.0,3.9299,6.2412
3,91,5,90,slab,4,4.5708,12.0,5.9299,9.2496
3,90,6,60,composit,3,4.0879,9.0,4.5533,8.0802
3,90,6,60,slab,3,4.5708,9.0,4.5533,9.0346
3,181,7,31,problem,2,1.4657,6.0,3.1892,2.7576
3,181,7,31,heat,2,1.5197,6.0,3.1892,2.8591
3,181,7,31,conduct,2,2.1792,6.0,3.1892,4.0998
3,181,7,31,composit,1,4.0879,3.0,2.1892,5.602
3,579,8,106,problem,3,1.4657,9.0,5.1308,2.5711
3,579,8,106,heat,4,1.5197,12.0,6.1308,2.9746
3,579,8,106,composit,1,4.0879,3.0,3.1308,3.9172
3,579,8,106,slab,1,4.5708,3.0,3.1308,4.3798
3,542,9,122,problem,4,1.4657,12.0,6.3317,2.7779
3,542,9,122,heat,6,1.5197,18.0,8.3317,3.2833
3,542,9,122,conduct,2,2.1792,6.0,4.3317,3.0185
3,542,9,122,slab,1,4.5708,3.0,3.3317,4.1158
3,582,10,49,heat,2,1.5197,6.0,3.4152,2.6699
3,582,10,49,slab,4,4.5708,12.0,5.4152,10.1288
4,166,1,101,flow,3,0.6512,9.0,5.068,1.1564
4,166,1,101,chemic,2,3.5686,6.0,4.068,5.2634
4,166,1,101,react,1,5.3731,3.0,3.068,5.254
4,166,1,101,gas,5,2.336,15.0,7.068,4.9575
4,166,1,101,mixtur,2,4.1314,6.0,4.068,6.0935
4,166,1,101,chemic,2,3.5686,6.0,4.068,5.2634
4,166,1,101,equilibrium,3,2.8321,9.0,5.068,5.0294
4,488,2,96,flow,1,0.6512,3.0,3.0053,0.6501
4,488,2,96,chemic,2,3.5686,6.0,4.0053,5.3459
4,488,2,96,react,2,5.3731,6.0,4.0053,8.0491
4,488,2,96,gas,2,2.336,6.0,4.0053,3.4994
4,488,2,96,mixtur,2,4.1314,6.0,4.0053,6.189
4,488,2,96,chemic,2,3.5686,6.0,4.0053,5.3459
4,488,2,96,equilibrium,1,2.8321,3.0,3.0053,2.8272
4,1061,3,170,develop,1,1.6671,3.0,3.9343,1.2712
4,1061,3,170,flow,1,0.6512,3.0,3.9343,0.4966
4,1061,3,170,solut,3,1.2349,9.0,5.9343,1.8729
4,1061,3,170,chemic,4,3.5686,12.0,6.9343,6.1756
4,1061,3,170,react,1,5.3731,3.0,3.9343,4.0971
4,1061,3,170,mixtur,2,4.1314,6.0,4.9343,5.0237
4,1061,3,170,base,1,1.8047,3.0,3.9343,1.3761
4,1061,3,170,assumpt,1,2.5582,3.0,3.9343,1.9507
4,1061,3,170,chemic,4,3.5686,12.0,6.9343,6.1756
4,1189,4,59,flow,3,0.6512,9.0,4.5407,1.2907
4,1189,4,59,solut,1,1.2349,3.0,2.5407,1.4581
4,1189,4,59,chemic,1,3.5686,3.0,2.5407,4.2137
4,1189,4,59,react,1,5.3731,3.0,2.5407,6.3444
4,1189,4,59,gas,1,2.336,3.0,2.5407,2.7582
4,1189,4,59,chemic,1,3.5686,3.0,2.5407,4.2137
4,1189,4,59,equilibrium,2,2.8321,6.0,3.5407,4.7993
4,167,5,74,flow,5,0.6512,15.0,6.7291,1.4516
4,167,5,74,solut,2,1.2349,6.0,3.7291,1.9869
4,167,5,74,chemic,1,3.5686,3.0,2.7291,3.9229
4,167,5,74,gas,4,2.336,12.0,5.7291,4.8929
4,167,5,74,mixtur,1,4.1314,3.0,2.7291,4.5416
4,167,5,74,chemic,1,3.5686,3.0,2.7291,3.9229
4,167,5,74,equilibrium,1,2.8321,3.0,2.7291,3.1133
4,575,6,142,develop,1,1.6671,3.0,3.5828,1.3959
4,575,6,142,flow,4,0.6512,12.0,6.5828,1.1871
4,575,6,142,solut,1,1.2349,3.0,3.5828,1.034
4,575,6,142,chemic,2,3.5686,6.0,4.5828,4.6722
4,575,6,142,gas,2,2.336,6.0,4.5828,3.0584
4,575,6,142,assumpt,1,2.5582,3.0,3.5828,2.1421
4,575,6,142,chemic,2,3.5686,6.0,4.5828,4.6722
4,575,6,142,equilibrium,5,2.8321,15.0,7.5828,5.6025
4,1315,7,94,flow,2,0.6512,6.0,3.9801,0.9817
4,1315,7,94,chemic,1,3.5686,3.0,2.9801,3.5924
4,1315,7,94,gas,2,2.336,6.0,3.9801,3.5214
4,1315,7,94,mixtur,1,4.1314,3.0,2.9801,4.159
4,1315,7,94,base,1,1.8047,3.0,2.9801,1.8167
4,1315,7,94,simplifi,1,3.159,3.0,2.9801,3.18
4,1315,7,94,chemic,1,3.5686,3.0,2.9801,3.5924
4,1315,7,94,equilibrium,1,2.8321,3.0,2.9801,2.851
4,1374,8,78,flow,2,0.6512,6.0,3.7793,1.0339
4,1374,8,78,solut,1,1.2349,3.0,2.7793,1.333
4,1374,8,78,chemic,2,3.5686,6.0,3.7793,5.6656
4,1374,8,78,gas,1,2.336,3.0,2.7793,2.5215
4,1374,8,78,assumpt,1,2.5582,3.0,2.7793,2.7614
4,1374,8,78,chemic,2,3.5686,6.0,3.7793,5.6656
4,1374,8,78,equilibrium,2,2.8321,6.0,3.7793,4.4963
4,185,9,189,flow,1,0.6512,3.0,4.1728,0.4682
4,185,9,189,chemic,2,3.5686,6.0,5.1728,4.1393
4,185,9,189,gas,9,2.336,27.0,12.1728,5.1813
4,185,9,189,mixtur,5,4.1314,15.0,8.1728,7.5826
4,185,9,189,base,1,1.8047,3.0,4.1728,1.2975
4,185,9,189,chemic,2,3.5686,6.0,5.1728,4.1393
4,1275,10,58,criterion,2,4.1769,6.0,3.5282,7.1032
4,1275,10,58,flow,6,0.6512,18.0,7.5282,1.5571
4,1275,10,58,simplifi,1,3.159,3.0,2.5282,3.7485
4,1275,10,58,instantan,2,5.1049,6.0,3.5282,8.6813
5,103,1,70,chemic,3,3.5686,9.0,4.6788,6.8645
5,103,1,70,kinet,2,4.0063,6.0,3.6788,6.534
5,103,1,70,system,1,2.8082,3.0,2.6788,3.1449
5,1032,2,64,kinet,1,4.0063,3.0,2.6035,4.6164
5,1032,2,64,system,4,2.8082,12.0,5.6035,6.0138
5,1032,2,64,applic,1,1.8536,3.0,2.6035,2.1359
5,1032,2,64,problem,1,1.4657,3.0,2.6035,1.689
5,401,3,199,chemic,2,3.5686,6.0,5.2984,4.0412
5,401,3,199,kinet,2,4.0063,6.0,5.2984,4.5368
5,401,3,199,applic,1,1.8536,3.0,4.2984,1.2937
5,401,3,199,hyperson,3,2.1062,9.0,6.2984,3.0096
5,401,3,199,problem,1,1.4657,3.0,4.2984,1.023
5,943,4,90,chemic,2,3.5686,6.0,3.9299,5.4484
5,943,4,90,kinet,1,4.0063,3.0,2.9299,4.1021
