Query_ID,Doc_ID,Rank,Term,W_query,W_doc,Dot_Product_Contrib,Query_Norm,Doc_Norm,Total_Cosine_Sim
1,51,1,model,0.188,0.0788,0.0148,0.9577,0.5059,0.278
1,51,1,construct,0.321,0.0673,0.0216,0.9577,0.5059,0.278
1,51,1,aircraft,0.271,0.2556,0.0693,0.9577,0.5059,0.278
1,51,1,speed,0.1425,0.0149,0.0021,0.9577,0.5059,0.278
1,51,1,heat,0.1382,0.1014,0.014,0.9577,0.5059,0.278
1,51,1,similar,0.2024,0.0636,0.0129,0.9577,0.5059,0.278
1,184,2,aeroelast,0.3958,0.1574,0.0623,0.9577,0.4387,0.2437
1,184,2,model,0.188,0.0748,0.0141,0.9577,0.4387,0.2437
1,184,2,aircraft,0.271,0.0359,0.0097,0.9577,0.4387,0.2437
1,184,2,similar,0.2024,0.0805,0.0163,0.9577,0.4387,0.2437
1,12,3,aeroelast,0.3958,0.1193,0.0472,0.9577,0.4741,0.2185
1,12,3,aircraft,0.271,0.0817,0.0221,0.9577,0.4741,0.2185
1,12,3,speed,0.1425,0.0859,0.0122,0.9577,0.4741,0.2185
1,12,3,heat,0.1382,0.0208,0.0029,0.9577,0.4741,0.2185
1,12,3,high,0.1563,0.0942,0.0147,0.9577,0.4741,0.2185
1,359,4,law,0.2976,0.2183,0.065,0.9577,0.5072,0.1956
1,359,4,similar,0.2024,0.1485,0.0301,0.9577,0.5072,0.1956
1,746,5,aeroelast,0.3958,0.1765,0.0699,0.9577,0.4325,0.1916
1,746,5,speed,0.1425,0.0212,0.003,0.9577,0.4325,0.1916
1,746,5,heat,0.1382,0.0205,0.0028,0.9577,0.4325,0.1916
1,746,5,high,0.1563,0.0232,0.0036,0.9577,0.4325,0.1916
1,56,6,law,0.2976,0.1299,0.0387,0.9577,0.3386,0.1744
1,56,6,similar,0.2024,0.0884,0.0179,0.9577,0.3386,0.1744
1,944,7,law,0.2976,0.0474,0.0141,0.9577,0.4168,0.1707
1,944,7,obey,0.5123,0.0817,0.0418,0.9577,0.4168,0.1707
1,944,7,heat,0.1382,0.0882,0.0122,0.9577,0.4168,0.1707
1,665,8,law,0.2976,0.0935,0.0278,0.9577,0.3853,0.1576
1,665,8,construct,0.321,0.0504,0.0162,0.9577,0.3853,0.1576
1,665,8,high,0.1563,0.0491,0.0077,0.9577,0.3853,0.1576
1,665,8,similar,0.2024,0.0318,0.0064,0.9577,0.3853,0.1576
1,879,9,model,0.188,0.2482,0.0467,0.9577,0.6774,0.1556
1,879,9,construct,0.321,0.1412,0.0453,0.9577,0.6774,0.1556
1,879,9,speed,0.1425,0.0627,0.0089,0.9577,0.6774,0.1556
1,878,10,model,0.188,0.132,0.0248,0.9577,0.5824,0.1458
1,878,10,construct,0.321,0.0751,0.0241,0.9577,0.5824,0.1458
1,878,10,aircraft,0.271,0.0634,0.0172,0.9577,0.5824,0.1458
1,878,10,speed,0.1425,0.0667,0.0095,0.9577,0.5824,0.1458
1,878,10,high,0.1563,0.0366,0.0057,0.9577,0.5824,0.1458
2,12,1,aeroelast,0.5442,0.1193,0.0649,0.9407,0.4741,0.4951
2,12,1,flight,0.2924,0.0961,0.0281,0.9407,0.4741,0.4951
2,12,1,structur,0.3214,0.1761,0.0566,0.9407,0.4741,0.4951
2,12,1,aircraft,0.3727,0.0817,0.0304,0.9407,0.4741,0.4951
2,12,1,speed,0.1959,0.0859,0.0168,0.9407,0.4741,0.4951
2,12,1,problem,0.1833,0.0201,0.0037,0.9407,0.4741,0.4951
2,12,1,high,0.2148,0.0942,0.0202,0.9407,0.4741,0.4951
2,51,2,flight,0.2924,0.0223,0.0065,0.9407,0.5059,0.3411
