Term,DF,IDF_BM25,Max_TF,Max_BM25_Score
plateau,1,6.8395,1,4.8443
bakanov,1,6.8395,1,7.6955
sixtwofebon,1,6.8395,1,8.8642
pole,1,6.8395,1,8.676
gorcum,1,6.8395,2,12.1953
lindsey,1,6.8395,1,6.3748
daley,1,6.8395,1,6.3748
humphrey,1,6.8395,1,6.3748
jetlik,1,6.8395,2,9.392
wakelik,1,6.8395,2,9.392
characteristi,1,6.8395,1,5.3171
heimenz,1,6.8395,1,6.1125
millikan,1,6.8395,1,6.1125
contempl,1,6.8395,1,5.3171
superfast,1,6.8395,1,7.284
nonalign,1,6.8395,1,7.284
boiloff,1,6.8395,1,6.7991
vent,1,6.8395,1,6.7991
deflagr,1,6.8395,1,6.7991
dorodnitzin,1,6.8395,1,6.7991
tomotika,1,6.8395,1,6.6067
unsepar,1,6.8395,1,8.1159
garabedian,1,6.8395,1,5.7471
rectangl,1,6.8395,2,8.7625
yuan,1,6.8395,1,5.5708
reaffirm,1,6.8395,1,5.3344
readi,1,6.8395,1,8.4082
usa,1,6.8395,1,8.4082
goodier,1,6.8395,1,8.4082
salmon,1,6.8395,1,8.4082
bleich,1,6.8395,1,8.4082
enskog,1,6.8395,1,7.6955
deryagin,1,6.8395,1,7.6955
translatori,1,6.8395,1,5.3344
synthes,1,6.8395,1,7.1564
weaker,1,6.8395,1,4.9922
pyramid,1,6.8395,1,4.9922
subarc,1,6.8395,1,3.6778
switch,1,6.8395,1,3.6778
weierstrass,1,6.8395,1,3.6778
erdmann,1,6.8395,1,3.6778
nonneg,1,6.8395,1,3.6778
centripet,1,6.8395,1,3.6778
denc,1,6.8395,1,5.7878
furnac,1,6.8395,1,7.9968
indetermin,1,6.8395,1,4.1652
acrothermoelast,1,6.8395,1,7.5533
aerelast,1,6.8395,1,7.5533
lennard,1,6.8395,1,5.6871
nbs,1,6.8395,1,5.6871
dilut,1,6.8395,1,5.6871
dalton,1,6.8395,1,5.6871
gibb,1,6.8395,1,5.6871
iodin,1,6.8395,1,5.6871
hirshfeld,1,6.8395,1,8.8642
hroma,1,6.8395,1,7.9968
jchemphystwenti,1,6.8395,1,8.8642
calib,1,6.8395,1,7.9968
underexpand,1,6.8395,1,5.3519
mccune,1,6.8395,1,6.9732
grad,1,6.8395,1,6.9732
hyperlipt,1,6.8395,1,6.9732
unperturb,1,6.8395,2,10.4089
locus,1,6.8395,1,7.1564
expound,1,6.8395,1,8.4082
unfil,1,6.8395,1,6.7709
neighbour,1,6.8395,1,5.441
liapunov,1,6.8395,3,14.2663
devreas,1,6.8395,1,6.2054
sixteenzero,1,6.8395,1,6.2054
millimet,1,6.8395,1,6.1355
routh,1,6.8395,1,8.8642
hurwitz,1,6.8395,1,8.8642
eulerian,1,6.8395,1,5.1822
quadruplet,1,6.8395,1,5.1822
cornel,1,6.8395,1,6.0897
morn,1,6.8395,1,7.8811
colloc,1,6.8395,3,11.6827
tempratur,1,6.8395,1,6.3254
fewer,1,6.8395,1,6.2769
reinvestig,1,6.8395,1,8.8642
claus,1,6.8395,3,14.2663
improp,1,6.8395,1,6.4503
capillari,1,6.8395,2,12.3801
lost,1,6.8395,1,4.1759
parabola,1,6.8395,1,5.6871
delimit,1,6.8395,1,5.6871
daytim,1,6.8395,1,4.1759
nocturn,1,6.8395,2,6.9394
dudx,1,6.8395,1,5.4959
errat,1,6.8395,2,8.2329
struck,1,6.8395,1,5.1495
intensifi,1,6.8395,1,5.1495
intensif,1,6.8395,1,5.1495
deeper,1,6.8395,1,5.1495
stronger,1,6.8395,1,5.1495
gortler,1,6.8395,1,8.1564
4th,1,6.8395,1,7.0031
jouguet,1,6.8395,2,11.0418
strengthen,1,6.8395,1,6.7709
periment,1,6.8395,1,7.8811
assort,1,6.8395,1,6.1125
midspan,1,6.8395,2,9.1552
undesir,1,6.8395,1,6.9435
rudimentari,1,6.8395,1,6.9435
accentu,1,6.8395,1,6.9435
hangl,1,6.8395,1,6.9435
threezerozero,1,6.8395,1,5.8921
chase,1,6.8395,1,7.4841
crush,1,6.8395,2,10.9677
macadam,1,6.8395,1,7.4841
taxi,1,6.8395,1,7.4841
inadvert,1,6.8395,1,7.4841
vtolstol,1,6.8395,1,7.4841
multipropel,1,6.8395,1,7.4841
superfici,1,6.8395,1,6.2769
dent,1,6.8395,1,6.2769
electrohydrodynam,1,6.8395,1,7.6595
vision,1,6.8395,1,6.2769
obliter,1,6.8395,1,6.2769
snow,1,6.8395,1,6.2769
threefour,1,6.8395,1,6.2769
spray,1,6.8395,1,6.1819
soak,1,6.8395,1,6.1819
dielectr,1,6.8395,1,7.7687
slower,1,6.8395,1,6.9435
upflow,1,6.8395,1,6.9435
inapplic,1,6.8395,1,7.1564
halfway,1,6.8395,1,5.707
oneeight,1,6.8395,1,7.0942
nonisentrop,1,6.8395,1,6.229
paint,1,6.8395,1,4.7875
x10,1,6.8395,1,4.7875
mirel,1,6.8395,1,7.2196
acrothermochemistri,1,6.8395,1,7.6595
flex,1,6.8395,2,6.4467
syng,1,6.8395,2,6.4467
ifer,1,6.8395,1,6.5276
dilat,1,6.8395,1,5.3171
outermost,1,6.8395,1,5.3171
merger,1,6.8395,1,5.3171
bolshakov,1,6.8395,1,5.3171
loitsianskii,1,6.8395,1,5.3171
rfive,1,6.8395,3,8.3572
coulomb,1,6.8395,1,8.7691
conductor,1,6.8395,2,12.287
rfour,1,6.8395,1,3.8241
mahoni,1,6.8395,1,4.4246
termwis,1,6.8395,1,5.441
nonplanar,1,6.8395,1,5.441
teeth,1,6.8395,1,4.1441
silenc,1,6.8395,1,4.1441
schemat,1,6.8395,1,4.1441
hitherto,1,6.8395,1,7.5883
reserv,1,6.8395,1,6.0003
fale,1,6.8395,1,6.0003
overshadow,1,6.8395,1,6.0003
instant,1,6.8395,1,6.0003
momentari,1,6.8395,2,9.2853
rung,1,6.8395,1,6.4249
integrand,1,6.8395,1,6.4249
integro,1,6.8395,1,6.4249
gyroscop,1,6.8395,7,14.6242
maxwel,1,6.8395,1,6.885
martin,1,6.8395,1,7.2196
hemi,1,6.8395,1,6.0897
fouron,1,6.8395,1,5.9566
cumbersom,1,6.8395,1,5.7878
lose,1,6.8395,1,5.441
age,1,6.8395,1,6.9435
aerotherm,1,6.8395,1,6.9435
seventwo,1,6.8395,1,3.8241
recov,1,6.8395,1,5.5899
