Term,Total_TF,DF,IDF,Max_TFIDF
flow,2082,730,0.6512,0.1108
number,1500,633,0.7938,0.0803
pressur,1391,552,0.9307,0.1241
boundari,1216,470,1.0915,0.1213
layer,1164,414,1.2184,0.1354
result,1088,692,0.7046,0.0587
two,1071,602,0.844,0.0675
point,1065,476,1.0788,0.1425
one,1032,561,0.9145,0.1006
effect,996,540,0.9527,0.0697
method,887,455,1.1239,0.1093
theori,882,456,1.1217,0.1255
bodi,854,293,1.5641,0.198
solut,849,407,1.2354,0.1544
heat,847,306,1.5206,0.2466
wing,837,226,1.8237,0.228
mach,823,388,1.2832,0.104
equat,781,402,1.2478,0.156
shock,746,240,1.7636,0.2051
use,733,513,1.004,0.0681
present,698,507,1.0157,0.0677
surfac,691,330,1.4451,0.1482
distribut,650,361,1.3553,0.1355
obtain,643,464,1.1043,0.069
temperatur,629,268,1.6532,0.1687
zero,618,303,1.5305,0.2888
ratio,614,296,1.5539,0.1413
problem,591,323,1.4666,0.1833
veloc,580,317,1.4853,0.1485
approxim,557,378,1.3093,0.1247
calcul,552,328,1.4512,0.1062
case,547,365,1.3443,0.126
test,526,274,1.6311,0.1957
plate,526,227,1.8193,0.1985
investig,524,361,1.3553,0.0782
given,521,387,1.2858,0.0897
condit,516,335,1.4301,0.1059
three,516,319,1.479,0.0924
speed,513,292,1.5675,0.169
valu,496,316,1.4885,0.1326
transfer,492,208,1.9067,0.143
wave,485,210,1.8971,0.2681
angl,473,212,1.8876,0.2221
experiment,470,339,1.4182,0.1091
superson,469,270,1.6458,0.1431
jet,462,96,2.6799,0.3828
cylind,449,178,2.0624,0.275
made,449,352,1.3806,0.0812
edg,439,188,2.0078,0.2703
rang,432,298,1.5471,0.0872
five,429,248,1.7308,0.2111
measur,429,252,1.7148,0.1429
laminar,428,234,1.7889,0.1193
found,424,322,1.4697,0.0754
load,414,200,1.9459,0.1971
stream,407,241,1.7594,0.12
lift,406,159,2.1753,0.1835
determin,399,299,1.5438,0.0702
coeffici,390,224,1.8326,0.1202
analysi,387,278,1.6166,0.0951
increas,386,209,1.9019,0.1426
general,384,292,1.5675,0.1016
reynold,383,199,1.9509,0.1754
wall,378,191,1.992,0.2929
free,377,218,1.8597,0.1431
base,375,230,1.8061,0.2064
high,373,251,1.7188,0.1495
turbul,368,145,2.2675,0.1744
dimension,366,237,1.7762,0.148
also,362,308,1.5141,0.0582
hyperson,351,170,2.1084,0.1807
stress,350,154,2.2073,0.2703
shown,347,285,1.5917,0.086
buckl,346,127,2.4,0.2342
separ,344,151,2.2269,0.257
compress,338,199,1.9509,0.2251
model,336,177,2.0681,0.2482
air,334,184,2.0293,0.1914
function,330,188,2.0078,0.2335
forc,330,169,2.1143,0.1224
deriv,328,213,1.8829,0.1435
discuss,328,271,1.6421,0.1095
develop,326,264,1.6683,0.1335
hundr,325,175,2.0794,0.1522
data,325,217,1.8643,0.1356
shape,320,193,1.9815,0.1607
drag,319,138,2.317,0.2495
studi,319,239,1.7678,0.1684
small,314,239,1.7678,0.1105
field,313,168,2.1203,0.1719
tunnel,312,180,2.0513,0.181
lead,312,174,2.0852,0.1787
theoret,311,235,1.7846,0.1373
may,310,232,1.7975,0.0719
aerodynam,309,179,2.0568,0.1789
consid,307,249,1.7268,0.1016
form,306,239,1.7678,0.208
four,302,205,1.9212,0.1558
relat,302,231,1.8018,0.1567
region,300,173,2.0909,0.11
thick,296,184,2.0293,0.1933
shell,294,106,2.5808,0.3147
cone,293,119,2.4651,0.237
flat,291,187,2.0131,0.1388
order,288,197,1.961,0.1824
six,284,177,2.0681,0.1241
compar,283,247,1.7348,0.0938
blunt,280,140,2.3026,0.163
larg,280,211,1.8924,0.0901
predict,277,193,1.9815,0.1564
transit,276,93,2.7116,0.2624
applic,276,219,1.8552,0.1294
rate,273,145,2.2675,0.162
section,272,169,2.1143,0.1321
characterist,269,184,2.0293,0.1353
gas,267,135,2.339,0.1827
includ,266,224,1.8326,0.1111
numer,266,200,1.9459,0.1358
constant,265,184,2.0293,0.1845
fluid,261,160,2.1691,0.2711
type,256,187,2.0131,0.1438
indic,253,214,1.8783,0.0751
stagnat,252,134,2.3464,0.1717
nose,252,111,2.5347,0.1969
nozzl,251,80,2.8622,0.4089
paper,247,200,1.9459,0.1497
time,245,152,2.2203,0.2562
show,241,201,1.9409,0.0787
differ,240,192,1.9867,0.1923
design,239,144,2.2744,0.2437
flutter,238,56,3.2189,0.4109
similar,236,151,2.2269,0.162
linear,235,163,2.1505,0.172
appli,235,204,1.9261,0.107
paramet,234,155,2.2008,0.1038
attack,231,114,2.508,0.2951
axial,228,147,2.2538,0.1503
stabil,227,120,2.4567,0.2457
first,227,171,2.1026,0.0904
integr,226,147,2.2538,0.1878
variat,226,141,2.2955,0.1435
simpl,222,184,2.0293,0.1602
flight,221,135,2.339,0.1362
agreement,221,181,2.0457,0.0787
eight,217,154,2.2073,0.1254
conduct,217,158,2.1816,0.1407
low,216,154,2.2073,0.2879
thin,210,136,2.3316,0.1976
uniform,209,148,2.247,0.2175
shear,209,99,2.6491,0.2337
circular,208,139,2.3098,0.2253
seven,207,138,2.317,0.2477
